epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,739.774,0.60924,0.90926,0.60195,0.87361,0,0.7241,0.79885,0.72598,0.58086,0.92661,0.65018,0.69172,0.4675,0.61053,1.55164,0.65298,0.9329,0,0.000693305,0.000693305,0.000693305
61,751.73,0.5947,0.83072,0.58015,0.93418,0,0.7241,0.79885,0.72598,0.58086,0.92661,0.65018,0.69172,0.4675,0.61053,1.55164,0.65298,0.9329,0,0.000676802,0.000676802,0.000676802
62,764.42,0.52236,0.77346,0.57764,0.88246,0,0.71413,0.76181,0.71873,0.57365,0.76953,0.65846,0.70626,0.48553,0.63869,1.59467,0.68024,0.94274,0,0.000660299,0.000660299,0.000660299
63,776.684,0.57682,0.88321,0.58694,0.90773,0,0.75222,0.83589,0.78326,0.60283,0.91364,0.63218,0.67344,0.49181,0.65075,1.47633,0.68483,0.94314,0,0.000643795,0.000643795,0.000643795
64,788.954,0.62957,0.97049,0.61865,0.91325,0,0.76315,0.85441,0.80733,0.63219,0.87001,0.61367,0.65075,0.48747,0.62535,1.41171,0.6514,0.94808,0,0.000627292,0.000627292,0.000627292
65,801.136,0.51194,0.75154,0.50541,0.8569,0,0.76315,0.85441,0.80733,0.63219,0.87001,0.61367,0.65075,0.48747,0.62535,1.41171,0.6514,0.94808,0,0.000610789,0.000610789,0.000610789
66,813.33,0.51577,0.74144,0.53087,0.88784,0,0.76361,0.85441,0.82735,0.64855,0.86753,0.63218,0.67639,0.50178,0.60958,1.37441,0.63944,0.93934,0,0.000594286,0.000594286,0.000594286
67,825.289,0.55339,0.88572,0.58494,0.8975,0,0.80429,0.78033,0.81951,0.6538,0.9452,0.59515,0.67157,0.51876,0.57969,1.36327,0.62847,0.93065,0,0.000577782,0.000577782,0.000577782
68,837.418,0.54987,0.84625,0.54514,0.87111,0,0.86888,0.78033,0.81828,0.64919,0.86882,0.59515,0.67642,0.51773,0.59322,1.38132,0.61261,0.92959,0,0.000561279,0.000561279,0.000561279
69,849.436,0.50374,0.77248,0.52632,0.86085,0,0.86888,0.78033,0.81828,0.64919,0.86882,0.59515,0.67642,0.51773,0.59322,1.38132,0.61261,0.92959,0,0.000544776,0.000544776,0.000544776
70,861.8,0.55979,0.8153,0.57367,0.87846,0,0.88538,0.78033,0.82602,0.65794,0.73684,0.66922,0.70268,0.53685,0.6075,1.37328,0.60538,0.93421,0,0.000528272,0.000528272,0.000528272
71,874.021,0.49869,0.82681,0.52975,0.8591,0,0.88213,0.78033,0.83895,0.65637,0.73696,0.66922,0.70376,0.55854,0.61838,1.40357,0.59626,0.94119,0,0.000511769,0.000511769,0.000511769
72,886.233,0.51666,0.83662,0.55894,0.86308,0,0.89183,0.78566,0.85409,0.64772,0.76354,0.63218,0.68356,0.54821,0.64557,1.39079,0.60716,0.95049,0,0.000495266,0.000495266,0.000495266
73,898.587,0.51786,0.71876,0.51368,0.87392,0,0.89183,0.78566,0.85409,0.64772,0.76354,0.63218,0.68356,0.54821,0.64557,1.39079,0.60716,0.95049,0,0.000478762,0.000478762,0.000478762
74,911.145,0.59498,0.91343,0.65682,0.91531,0,0.91579,0.79885,0.87159,0.65552,0.72367,0.66549,0.68218,0.53402,0.64346,1.40176,0.62927,0.94621,0,0.000462259,0.000462259,0.000462259
75,923.253,0.51803,0.74307,0.54626,0.8993,0,0.91884,0.79885,0.8666,0.65702,0.79638,0.6507,0.67155,0.52481,0.6285,1.38158,0.63879,0.93552,0,0.000445756,0.000445756,0.000445756
76,935.664,0.49488,0.73594,0.49852,0.89049,0,0.91815,0.79885,0.86505,0.66209,0.72905,0.66683,0.66623,0.50675,0.63028,1.36289,0.62945,0.93422,0,0.000429253,0.000429253,0.000429253
77,947.831,0.49014,0.82234,0.50779,0.84674,0,0.91815,0.79885,0.86505,0.66209,0.72905,0.66683,0.66623,0.50675,0.63028,1.36289,0.62945,0.93422,0,0.000412749,0.000412749,0.000412749
78,959.834,0.52893,0.8379,0.57455,0.87312,0,0.89139,0.78033,0.84443,0.65915,0.77068,0.63218,0.65426,0.49836,0.6314,1.45166,0.62447,0.93937,0,0.000396246,0.000396246,0.000396246
79,971.954,0.52151,0.81213,0.55401,0.86893,0,0.89658,0.79417,0.85244,0.6605,0.77224,0.63218,0.65494,0.50273,0.6266,1.45707,0.62477,0.93637,0,0.000379743,0.000379743,0.000379743
80,984.231,0.51131,0.68707,0.51069,0.87287,0,0.89719,0.7966,0.85505,0.65793,0.77125,0.63218,0.65309,0.50985,0.60263,1.39124,0.62588,0.92506,0,0.000363239,0.000363239,0.000363239
81,996.341,0.49387,0.75126,0.51514,0.85908,0,0.89719,0.7966,0.85505,0.65793,0.77125,0.63218,0.65309,0.50985,0.60263,1.39124,0.62588,0.92506,0,0.000346736,0.000346736,0.000346736
82,1008.55,0.51248,0.93924,0.51414,0.86786,0,0.89693,0.79607,0.85463,0.66605,0.77104,0.63218,0.66413,0.51597,0.59312,1.31975,0.61909,0.9212,0,0.000330233,0.000330233,0.000330233
83,1020.64,0.48143,0.68846,0.50455,0.85875,0,0.8728,0.78033,0.85144,0.65613,0.83919,0.63218,0.65944,0.52016,0.60576,1.25066,0.61874,0.92279,0,0.000313729,0.000313729,0.000313729
84,1032.89,0.49178,0.76162,0.51526,0.85199,0,0.87157,0.78033,0.84271,0.64997,0.74797,0.63218,0.66691,0.50956,0.62417,1.2342,0.60599,0.93006,0,0.000297226,0.000297226,0.000297226
85,1044.88,0.51906,0.69647,0.53649,0.89959,0,0.87157,0.78033,0.84271,0.64997,0.74797,0.63218,0.66691,0.50956,0.62417,1.2342,0.60599,0.93006,0,0.000280723,0.000280723,0.000280723
86,1057.92,0.48119,0.83699,0.49958,0.87824,0,0.86984,0.78033,0.83353,0.65062,0.70518,0.6507,0.66343,0.50119,0.62577,1.27163,0.58278,0.93913,0,0.00026422,0.00026422,0.00026422
87,1070.1,0.47823,0.9012,0.49302,0.85056,0,0.84539,0.76181,0.81321,0.6542,0.7043,0.6507,0.6615,0.50023,0.61244,1.32,0.56457,0.93914,0,0.000247716,0.000247716,0.000247716
88,1082.27,0.52033,0.8137,0.51571,0.87388,0,0.84507,0.76181,0.80977,0.65653,0.70398,0.6507,0.66422,0.51362,0.58224,1.37308,0.54072,0.92617,0,0.000231213,0.000231213,0.000231213
89,1094.27,0.49929,0.8396,0.47915,0.89226,0,0.84507,0.76181,0.80977,0.65653,0.70398,0.6507,0.66422,0.51362,0.58224,1.37308,0.54072,0.92617,0,0.00021471,0.00021471,0.00021471
90,1106.48,0.53163,0.85035,0.52277,0.90092,0,0.84519,0.76181,0.81053,0.6521,0.70396,0.6507,0.66379,0.52237,0.55824,1.36266,0.52369,0.91686,0,0.000198206,0.000198206,0.000198206
91,1118.81,0.51515,0.77534,0.68592,0.88738,0,0.8455,0.76181,0.81713,0.66127,0.70439,0.6507,0.66928,0.53051,0.55475,1.35556,0.53504,0.91421,0,0.000181703,0.000181703,0.000181703
92,1131.12,0.5397,0.76966,0.63445,0.87677,0,0.85567,0.76181,0.82955,0.65851,0.78616,0.63218,0.6715,0.53082,0.56526,1.35436,0.55653,0.9147,0,0.0001652,0.0001652,0.0001652
93,1143.02,0.47904,0.83523,0.57819,0.84793,0,0.85567,0.76181,0.82955,0.65851,0.78616,0.63218,0.6715,0.53082,0.56526,1.35436,0.55653,0.9147,0,0.000148696,0.000148696,0.000148696
94,1155.08,0.489,0.86074,0.57627,0.8552,0,0.90876,0.78033,0.84225,0.65612,0.80274,0.64701,0.69057,0.53082,0.59656,1.29325,0.57856,0.92048,0,0.000132193,0.000132193,0.000132193
95,1167.18,0.53518,0.75732,0.62342,0.85893,0,0.94207,0.77855,0.84084,0.656,0.81056,0.61367,0.67433,0.51878,0.61625,1.31379,0.59846,0.9263,0,0.00011569,0.00011569,0.00011569
96,1179.33,0.5119,0.88146,0.58896,0.84413,0,0.92444,0.78033,0.84084,0.65529,0.8104,0.61367,0.66914,0.5202,0.63511,1.33156,0.6184,0.93873,0,9.91865e-05,9.91865e-05,9.91865e-05
97,1191.17,0.47658,0.77062,0.54256,0.84898,0,0.92444,0.78033,0.84084,0.65529,0.8104,0.61367,0.66914,0.5202,0.63511,1.33156,0.6184,0.93873,0,8.26832e-05,8.26832e-05,8.26832e-05
98,1203.13,0.49649,1.01794,0.59161,0.84548,0,0.92364,0.78033,0.84084,0.6562,0.80924,0.61367,0.66902,0.51994,0.64391,1.34434,0.62702,0.94304,0,6.61799e-05,6.61799e-05,6.61799e-05
99,1215.28,0.51083,0.68725,0.56408,0.88229,0,0.928,0.78033,0.84084,0.65344,0.8105,0.61367,0.66903,0.51866,0.64791,1.34711,0.62896,0.94759,0,4.96766e-05,4.96766e-05,4.96766e-05
100,1227.29,0.48631,0.72829,0.54757,0.85698,0,0.92965,0.78033,0.84041,0.64732,0.8108,0.61367,0.66905,0.51605,0.64691,1.3422,0.62515,0.94831,0,3.31733e-05,3.31733e-05,3.31733e-05
